"","group","x","y"
"1","burned",37.97213,0
"2","burned",37.97941,0
"3","burned",37.97928,0
"4","burned",37.96129,1
"5","burned",37.96147,0
"6","burned",37.96172,0
"7","unburned",37.95813,0
"8","unburned",37.95741,0
"9","unburned",37.95583,0
"10","unburned",37.95506,0
"11","unburned",37.95743,0
"12","unburned",37.95808,0
"13","unburned",37.95883,0
"14","unburned",37.95875,0
"15","burned",37.97145,14
"16","burned",37.97148,0
"17","unburned",38.12215,0
"18","unburned",38.12087,0
"19","unburned",38.06127,0
"20","unburned",38.06185,0
"21","unburned",38.0618,0
"22","unburned",38.12121,0
"23","unburned",38.06209,0
"24","unburned",38.06036,0
"25","unburned",38.05944,0
"26","burned",38.05205,0
"27","unburned",38.05276,0
"28","unburned",38.05276,0
"29","burned",38.05276,0
"30","burned",38.05276,0
"31","unburned",38.05303,0
"32","unburned",38.05303,0
"33","burned",38.05303,0
"34","burned",38.05303,0
"35","unburned",38.12115,0
"36","burned",38.05347,0
"37","burned",38.06267,0
"38","burned",38.06311,3
"39","burned",38.06386,0
"40","burned",38.06178,0
"41","unburned",38.12121,0
"42","burned",38.11339,0
"43","burned",38.11347,0
"44","burned",38.11303,0
"45","unburned",38.12093,0
"46","burned",38.11224,0
"47","burned",38.11917,0
"48","burned",38.11933,0
"49","burned",38.11898,1
"50","burned",38.1186,0
"51","unburned",38.12027,0
"52","unburned",38.11853,0
